JOB     CHECK.MEA
HVD     1290179,323367,63.949
SC      C22103,1.350,
NEZ     1281.669,1474.056,13.408
SD      C22103,1.350,
HVD     1290939,323315,83.371
SC      C22104,1.350,
NEZ     1285.204,1474.028,13.458
SD      C22104,1.350,
HVD     1291085,323223,86.906
SC      C201C,1.350,
NEZ     1276.059,1480.888,13.412
SD      C201C,1.350,
HVD     12681,323254,77.884
STA     Z1,1.460,
XYZ     1335.650,1302.960,14.140
STA     Z1,1.512,
XYZ     1335.650,1302.960,14.140
BS      A305,1.350
HVD     1290679,326233,108.538
SC      A305,1.350,BSS
NEZ     1411.456,1332.851,13.128
SC      CZ1033,1.350,
NEZ     1326.041,1330.045,14.014
SD      CZ1033,1.350,
HVD     1246858,326499,23.753
SC      CZ1034,1.350,
NEZ     1325.978,1324.769,14.017
SD      CZ1034,1.350,
HVD     1204915,326313,25.462
SC      CZ1027,1.350,
NEZ     1326.229,1343.611,14.009
SD      CZ1027,1.350,
HVD     67991,326459,24.595
SC      CZ1026,1.350,
NEZ     1326.297,1348.879,14.024
SD      CZ1026,1.350,
HVD     106375,326139,26.827
SC      CZ1048,1.350,
NEZ     1301.140,1350.146,14.277
SD      CZ1048,1.350,
HVD     349765,324353,14.610
SC      CZ1047,1.350,
NEZ     1301.064,1344.620,14.279
SD      CZ1047,1.350,
HVD     366964,324515,9.169
SC      CZ1016,1.350,
NEZ     1303.157,1357.517,14.386
SD      CZ1016,1.350,
HVD     322146,323209,21.868
SC      CZ1018,1.350,
NEZ     1303.645,1396.744,14.378
SD      CZ1018,1.350,
HVD     321687,323744,61.098
SC      CZ1015,1.350,
NEZ     1301.696,1359.010,14.271
SD      CZ1015,1.350,
HVD     335150,324278,23.394
SC      CZ1014,1.350,
NEZ     1287.784,1359.190,14.266
SC      CZ1005,1.350,
NEZ     1254.204,1347.546,14.251
SD      CZ1005,1.350,
HVD     598638,324212,50.186
SC      CZ1006,1.350,
NEZ     1253.964,1327.766,14.252
SD      CZ1006,1.350,
HVD     680907,324209,49.627
SC      CZ1009,1.350,
NEZ     1263.032,1332.609,14.350
SD      CZ1009,1.350,
HVD     663679,323755,40.044
