JOB     22.MEA
INST    station
STA     22,1.450,
XYZ     1476.104,1198.323,13.020
BS      A202,1.350
HVD     7855,323172,115.778
SC      A202,1.350,BSS
NEZ     1314.016,1480.510,13.586
SC      A201,1.350,
NEZ     1276.047,1480.876,13.402
SD      A201,1.350,
HVD     12650,323254,77.871
SC      A102,1.350,
NEZ     1196.093,1400.435,11.539
SD      A102,1.350,
HVD     965927,328307,75.719
SC      A22098,1.350,
NEZ     1213.918,1481.853,13.093
SD      A22098,1.350,
HVD     72855,324337,16.621
SC      A22099,1.350,
NEZ     1213.810,1474.878,13.075
SD      A22099,1.350,
HVD     1279711,324597,15.536
SC      A22100,1.350,
NEZ     1238.738,1474.604,13.207
SD      A22100,1.350,
HVD     1288346,323558,40.443
SC      A22101,1.350,
NEZ     1258.032,1474.338,13.297
SD      A22101,1.350,
HVD     1289900,323389,59.735
SC      A22102,1.350,
NEZ     1263.706,1474.267,13.333
SD      A22102,1.350,
HVD     1290209,323329,65.409
SC      A22103,1.350,
NEZ     1280.199,1474.069,13.410
SD      A22103,1.350,
HVD     1290877,323272,81.902
SC      A22104,1.350,
NEZ     1285.198,1474.019,13.440
SD      A22104,1.350,
HVD     1291054,323241,86.900
SC      A22105,1.350,
NEZ     1333.039,1474.506,13.667
SD      A22105,1.350,
HVD     1293559,323166,134.726
SC      A22106,1.350,
NEZ     1325.613,1473.902,13.615
SD      A22106,1.350,
HVD     1292436,323200,127.310
SC      A22107,1.350,
NEZ     1327.934,1477.549,13.659
SD      A22107,1.350,
HVD     2303,323145,129.620
SC      A22108,1.350,
NEZ     1325.924,1479.203,13.651
SD      A22108,1.350,
HVD     5011,323144,127.640
SC      A22109,1.350,
NEZ     1326.904,1480.174,13.607
SD      A22109,1.350,
HVD     6533,323221,128.646
SC      A22110,1.350,
NEZ     1304.488,1480.464,13.507
SD      A22110,1.350,
HVD     8470,323250,106.256
SC      A22111,1.350,
NEZ     1300.894,1479.393,13.527
SD      A22111,1.350,
HVD     6654,323183,102.625
SC      A22112,1.350,
NEZ     1302.721,1477.804,13.568
SD      A22112,1.350,
HVD     3362,323117,104.413
SC      A22113,1.350,
NEZ     1303.886,1474.158,13.504
SD      A22113,1.350,
HVD     1292206,323252,105.582
SC      A22114,1.350,
NEZ     1278.450,1474.503,13.390
SD      A22114,1.350,
HVD     1291882,323306,80.144
SC      A22115,1.350,
NEZ     1280.596,1476.142,13.432
SD      A22115,1.350,
HVD     97,323220,82.273
SC      A22116,1.350,
NEZ     1278.019,1478.184,13.435
SD      A22116,1.350,
HVD     5381,323186,79.724
SC      A22117,1.350,
NEZ     1276.018,1479.836,13.397
SD      A22117,1.350,
HVD     9906,323267,77.785
SC      A22118,1.350,
NEZ     1278.896,1480.723,13.401
SD      A22118,1.350,
HVD     11816,323283,80.706
SC      A22119,1.350,
NEZ     1254.621,1481.016,13.271
SD      A22119,1.350,
HVD     17954,323450,56.512
SC      A22120,1.350,
NEZ     1251.056,1479.889,13.294
SD      A22120,1.350,
HVD     14786,323321,52.869
SC      A22121,1.350,
NEZ     1253.066,1478.434,13.313
SD      A22121,1.350,
HVD     8777,323276,54.793
SC      A22122,1.350,
NEZ     1254.858,1474.776,13.285
SD      A22122,1.350,
HVD     1291159,323399,56.551
SC      A22123,1.350,
NEZ     1229.687,1475.058,13.148
SD      A22123,1.350,
HVD     1289124,323814,31.381
SC      A22124,1.350,
NEZ     1227.792,1478.624,13.182
SD      A22124,1.350,
HVD     17599,323566,29.577
SC      A22125,1.350,
NEZ     1226.013,1480.158,13.158
SD      A22125,1.350,
HVD     29996,323719,27.985
SC      A22126,1.350,
NEZ     1229.849,1481.293,13.155
SD      A22126,1.350,
HVD     33654,323776,31.951
SC      A22127,1.350,
NEZ     1217.003,1475.854,13.094
SD      A22127,1.350,
HVD     1293264,324288,18.681
SC      A22128,1.350,
NEZ     1210.024,1472.859,12.966
SD      A22128,1.350,
HVD     1240197,326614,12.143
SC      A22129,1.350,
NEZ     1207.579,1471.821,12.866
SD      A22129,1.350,
HVD     1206610,329137,10.203
SC      A22130,1.350,
NEZ     1201.880,1478.731,13.104
SD      A22130,1.350,
HVD     131239,324729,4.422
SC      A22131,1.350,
NEZ     1199.739,1480.469,13.140
SD      A22131,1.350,
HVD     259292,323121,4.589
SC      A22132,1.350,
NEZ     1200.225,1476.805,13.056
SD      A22132,1.350,
HVD     72779,330532,2.028
SC      A22133,1.350,
