JOB     2.MEA
HVD     1015546,323216,19.134
SC      A2056,1.400,
NEZ     1208.738,1191.911,8.843
SD      A2056,1.400,
HVD     1017066,324456,13.192
SC      A2057,1.400,
NEZ     1207.546,1186.366,8.806
SD      A2057,1.400,
HVD     990617,324733,18.498
SC      A2058,1.350,
NEZ     1212.157,1157.762,10.430
SD      A2058,1.350,
HVD     999374,317448,47.468
SC      A2059,1.350,
NEZ     1210.724,1141.379,10.843
SD      A2059,1.350,
HVD     987730,317772,63.624
SC      A2060,1.350,
NEZ     1213.062,1132.843,11.813
SD      A2060,1.350,
HVD     992526,315757,72.362
SC      A2061,1.350,
NEZ     1216.460,1123.910,12.992
SD      A2061,1.350,
HVD     998835,313719,81.670
SC      A2062,1.350,
NEZ     1217.654,1115.796,13.702
SD      A2062,1.350,
HVD     999135,313029,89.896
SC      A2063,1.350,
NEZ     1209.847,1126.291,11.719
SD      A2063,1.350,
HVD     982417,316665,78.648
SC      A2064,1.350,
NEZ     1220.319,1132.129,12.776
SD      A2064,1.350,
HVD     1012468,313279,74.181
SC      A2065,1.600,
NEZ     1230.256,1155.240,11.901
SD      A2065,1.600,
HVD     1066308,311955,55.315
SC      A2066,1.350,
NEZ     1237.971,1138.151,13.330
SD      A2066,1.350,
HVD     1064577,311723,74.095
SC      A2067,1.400,
NEZ     1243.290,1126.447,14.319
SD      A2067,1.400,
HVD     1063894,311079,86.987
SC      A2068,1.400,
NEZ     1217.409,1159.719,10.778
SD      A2068,1.400,
HVD     1023664,315555,46.561
SC      A2069,1.400,
NEZ     1206.336,1164.960,8.723
SD      A2069,1.400,
HVD     974365,324775,39.832
SC      A2070,1.400,
NEZ     1214.481,1176.949,8.917
SC      A2071,1.400,
NEZ     1236.422,1252.849,10.704
SD      A2071,1.400,
HVD     207233,317368,56.974
SC      A2072,1.400,
NEZ     1231.172,1257.745,10.222
SD      A2072,1.400,
HVD     232095,319257,58.702
SC      A2073,1.400,
NEZ     1231.212,1263.924,10.176
SD      A2073,1.400,
HVD     240517,319821,64.346
