JOB     A202.MEA
INST    station
STA     A202,1.465,
XYZ     1480.510,1314.020,13.590
BS      22,1.350
HVD     655851,325271,115.782
SC      22,1.350,BSS
NEZ     1198.324,1476.104,12.993
SC      A204,1.350,
NEZ     1413.295,1479.677,13.856
SD      A204,1.350,
HVD     1294269,323688,99.278
SC      A202078,1.350,
NEZ     1338.611,1469.616,14.330
SD      A202078,1.350,
HVD     1209986,319206,26.903
SC      A202079,1.350,
NEZ     1338.331,1447.069,14.327
SD      A202079,1.350,
HVD     1101665,320900,41.349
SC      A202080,1.350,
NEZ     1333.225,1473.342,13.785
SD      A202080,1.350,
HVD     1222326,323199,20.499
SC      A202081,1.350,
NEZ     1304.590,1473.564,13.678
SD      A202081,1.350,
HVD     778947,324469,11.712
SC      A202082,1.350,
NEZ     1332.970,1451.588,14.046
SD      A202082,1.350,
HVD     1091646,321967,34.579
SC      A202083,1.350,
NEZ     1331.942,1449.376,13.937
SD      A202083,1.350,
HVD     1079746,322672,35.924
SC      A202084,1.350,
NEZ     1331.959,1445.749,14.009
SD      A202084,1.350,
HVD     1070268,322396,39.118
SC      A202085,2.150,
NEZ     1304.251,1445.989,13.809
SD      A202085,2.150,
HVD     915119,318805,35.888
SC      A202086,2.150,
NEZ     1303.642,1447.219,14.267
SC      A202087,1.350,
NEZ     1302.991,1469.984,14.278
SD      A202087,1.350,
HVD     805185,316253,15.257
SC      A202088,1.750,
NEZ     1302.643,1441.183,14.292
SD      A202088,1.750,
HVD     914429,319031,40.951
SC      A202089,1.350,
NEZ     1303.535,1440.568,14.379
SC      A202090,1.350,
NEZ     1303.646,1400.861,14.374
SD      A202090,1.350,
HVD     945237,322283,80.325
SC      A202091,1.450,
NEZ     1303.553,1399.543,14.261
SC      A202092,1.377,
NEZ     1302.956,1397.053,14.364
SC      A202093,1.350,
NEZ     1332.989,1409.651,17.128
SC      A202094,2.150,
NEZ     1327.080,1439.925,14.294
SD      A202094,2.150,
HVD     1036222,317281,42.657
SC      A202095,1.350,
NEZ     1334.573,1455.550,14.293
SD      A202095,1.350,
HVD     1114095,320250,32.338
SC      A202096,1.350,
NEZ     1329.555,1455.619,13.947
SD      A202096,1.350,
HVD     1087093,322299,29.342
SC      A202097,1.350,
NEZ     1329.497,1447.825,13.934
SD      A202097,1.350,
HVD     1063224,322696,36.165
