JOB     S5.MEA
HVD     241369,320251,43.062
SD      S5052,2.150,
HVD     237086,320050,41.045
SC      S5053,2.150,
NEZ     1374.413,1305.865,10.338
SD      S5053,2.150,
HVD     260820,322003,39.403
SC      S5054,1.350,
NEZ     1375.935,1293.421,10.537
SD      S5054,1.350,
HVD     222908,325588,28.476
SC      S5055,0.070,
NEZ     1355.705,1291.381,10.582
SD      S5055,0.070,
HVD     383312,336446,24.115
SC      A303C,1.350,
NEZ     1363.723,1235.326,10.276
SD      A303C,1.350,
HVD     979449,326999,32.997
