CZ1027,,1343.6110,1326.2290,14.0090    X=1326.218米  Y=1343.550米  H=14.011米
CZ1026,,1348.8790,1326.2970,14.0240    X=1326.306米  Y=1348.826米  H=14.015米
CZ1048,,1350.1460,1301.1400,14.2770    X=1301.114Ã×  Y=1350.073Ã×  H=14.280Ã×
CZ1047,,1344.6200,1301.0640,14.2790    X=1300.903米  Y=1344.560米  H=14.281米--
CZ1016,,1357.5170,1303.1570,14.3860    X=1303.141米  Y=1357.456米  H=14.376米
CZ1018,,1396.7440,1303.6450,14.3780    X=1303.603米  Y=1396.689米  H=14.374米
CZ1015,,1359.0100,1301.6960,14.2710    X=1301.717米  Y=1358.974米  H=14.261米
CZ1014,,1359.1900,1287.7840,14.2660    X=1287.718米  Y=1359.103米  H=14.257米
CZ1005,,1347.5460,1254.2040,14.2510    X=1254.178米  Y=1347.638米  H=14.244米
CZ1006,,1327.7660,1253.9640,14.2520    X=1253.939米  Y=1327.514米  H=14.243米--fix
CZ1009,,1332.6090,1263.0320,14.3500    X=1263.040米  Y=1332.504米  H=14.348米--fix
CZ1002,,1357.2990,1241.2400,14.2650    X=1241.230米  Y=1357.207米  H=14.256米
CZ1040,,1315.2900,1287.2650,14.2740    X=1287.219米  Y=1315.233米  H=14.268米
CZ1039,,1315.0870,1301.1550,14.2710    X=1301.179米  Y=1315.049米  H=14.266米
CZ1051,,1321.6320,1292.5700,14.3940    X=1292.604米  Y=1324.083米  H=14.391米---
CZ1050,,1329.6920,1292.6650,14.3910    X=1292.670米  Y=1329.619米  H=14.392米
CZ1035,,1317.2600,1336.8460,14.3200    X=1336.846米  Y=1317.211米  H=14.310米
C305C,,1332.8540,1411.4570,13.1320
